source_id,title,year,authors,doi,methods
palacin2011,"Cultural transmission and flexibility of partial migration patterns in a long-lived bird, the great bustard <i>Otis tarda</i>",2011,"Palacin, Carlos and Alonso, Juan Carlos and Alonso, Javier A. and Magana, Marina and Martin, Carlos A.",10.1111/j.1600-048X.2011.05395.x,traced transmission from informed to naive individuals between generations
vanleeuwen2012,Neighbouring chimpanzee communities show different preferences in social grooming behaviour,2012,"Edwin J. C. van Leeuwen, Katherine A. Cronin, Daniel B. M. Haun, Roger Mundry, and Mark D. Bodamer",10.1098/rspb.2012.1543,variation between neighbouring populations
colbeck2013,Groups of related belugas ( <i>Delphinapterus leucas</i> ) travel together during their seasonal migrations in and around Hudson Bay,2013,"Gabriel J. Colbeck, Pierre Duchesne, Lianne D. Postma, Véronique Lesage, Mike O. Hammill and Julie Turgeon",10.1098/rspb.2012.2552,social network analysis
luther2010,Urban noise and the cultural evolution of bird songs,2010,"Luther, David and Baptista, Luis",10.1098/rspb.2009.1571,"change over time, tracking spread of natural innovation"
bell1998,Song learning and vocal tradition in Nuttall's white-crowned sparrows,1998,"Bell, DA and Trail, PW and Baptista, LF",10.1006/anbe.1997.0644,"cross-generation, quantitative analysis of song similarity between sons and fathers vs neighbours"
pardo2024,Female African elephant rumbles differ between populations and sympatric social groups,2024,"Michael A. Pardo, David S. Lolchuragi, Joyce Poole, Petter Granli, Cynthia Moss, Iain Douglas-Hamilton and George Wittemyer",10.1098/rsos.241264,geographic variation
mccomb2000,Unusually extensive networks of vocal recognition in African elephants,2000,"McComb, Karen, Cynthia Moss, Soila Sayialel, and Lucy Baker",10.1006/anbe.2000.1406,NA
cantor2015,Multilevel animal societies can emerge from cultural transmission,2015,"Cantor, Mauricio and Shoemaker, Lauren G. and Cabral, Reniel B. and Flores, Cesar O. and Varga, Melinda and Whitehead, Hal",10.1038/ncomms9091,NA
yoshino2008,Genetic and acoustic population structuring in the Okinawa least horseshoe bat: are intercolony acoustic differences maintained by vertical maternal transmission?,2008,"Yoshino, Hajime and Armstrong, Kyle N. and Izawa, Masako and Yokoyama, Jun and Kawata, Masakado",10.1111/j.1365-294X.2008.03975.x,variation between neighbouring populations
chen2009,Determinants of echolocation call frequency variation in the Formosan lesser horseshoe bat (<i>Rhinolophus monoceros</i>),2009,"Chen, Shiang-Fan and Jones, Gareth and Rossiter, Stephen J.",10.1098/rspb.2009.1185,variation between neighbouring populations
mannu2009,"The Enhanced Tool-Kit of Two Groups of Wild Bearded Capuchin Monkeys in the Caatinga: Tool Making, Associative Use, and Secondary Tools",2009,"Mannu, Massimo and Ottoni, Eduardo B.",10.1002/ajp.20642,NA
jiang2010,"Geographical and individual variation in echolocation calls of the intermediate leaf-nosed bat, <i>Hipposideros larvatus</i>",2010,"Jiang, Tinglei and Liu, Rong and Metzner, Walter and You, Yuyan and Li, Shi and Liu, Sen and Feng, Jiang",10.1111/j.1439-0310.2010.01785.x,geographic variation
seibt2002,"Structure, geography and origin of dialects in the traditive song of the forest weaver Ploceus bicolor sclateri in Natal, S. Africa",2002,"Seibt, U and Wickler, W and Kleindienst, HU and Sonnenschein, E",10.1163/15685390260437362,traced transmission from informed to naive individuals between generations
schakner2014,Using Models of Social Transmission to Examine the Spread of Longline Depredation Behavior among Sperm Whales in the Gulf of Alaska,2014,"Schakner, Zachary Adam and Chris Lunsford, Janice Straley, Tomoharu Eguchi, Sarah L. Mesnick",10.1371/journal.pone.0109079,rate of transmission and Wave-of-Advance analyses; tracing spread of natural innovation
fiore2020,"Food Cleaning by Japanese Macaques: Innate, Innovative or Cultural?",2020,"Fiore, Angela M., Katherine A. Cronin, Stephen R. Ross, and Lydia Meriel Hopper",10.1159/000506127,NA
crockford2004,Wild Chimpanzees Produce Group-Specific Calls: a Case for Vocal Learning?,2004,"Catherine Crockford, Ilka Herbinger, Linda Vigilant, Christophe Boesch",10.1111/j.1439-0310.2004.00968.x,NA
robbins2016,Behavioral Variation in Gorillas: Evidence of Potential Cultural Traits,2016,"Martha M. Robbins ,Chieko Ando,Katherine A. Fawcett,Cyril C. Grueter,Daniela Hedwig,Yuji Iwata,Jessica L. Lodwick,Shelly Masi,Roberta Salmi,Tara S. Stoinski,Angelique Todd,Veronica Vercellio,Juichi Yamagiwa",10.1371/journal.pone.0160483,geographic variation
arrondo2023,Vulture Culture: Dietary Specialization of an Obligate Scavenger,2023,"Arrondo, Eneko, Esther Sebastián-González, Marcos Moleón, Zebensui Morales-Reyes, José María Gil-Sánchez, Ainara Cortés-Avizanda, Olga Ceballos, José Antonio Donázar, and José Antonio Sánchez-Zapata",10.1098/rspb.2022.1951,"geographic variation, network analysis of spatial co-occurence"
santos2010,"Guiana Dolphins (Sotalia Guianensis) Displaying Beach Hunting Behavior in the Cananéia Estuary, Brazil: Social Context and Conservation Issues",2010,"Santos, Marcos César de Oliveira",https://www.scielo.br/j/bjoce/a/DTgvyddtbVj5Rv5JL9JLSzD/?lang=en,"social network analysis, traced transmission from informed to naive individuals between generations"
hersh2022,Evidence from Sperm Whale Clans of Symbolic Marking in Non-Human Cultures,2022,"Hersh, Taylor A., Shane Gero, Luke Rendell, Maurício Cantor, Lindy Weilgart, Masao Amano, Stephen M. Dawson, et al.",10.1073/pnas.2201692119,identification of stable variation between groups
perry2012,The Lomas Barbudal Monkey Project: Two Decades of Research on Cebus capucinus,2012,"Perry, Susan, Irene Godoy, and Wiebke Lammers",10.1007/978-3-642-22514-7_7,"geographic variation, traced transmission from informed to naive individuals"
perry2009,Conformism in the food processing techniques of white-faced capuchin monkeys (Cebus capucinus),2009,"Perry, Susan",10.1007/s10071-009-0230-3,traced transmission from informed to naive individuals between generations
GBIF,GBIF Backbone Taxonomy,2023,GBIF Secretariat,10.15468/39omei,NA
suaq.org/research,,,,,NA
aplin2015,Experimentally induced innovations lead to persistent culture via conformity in wild birds,2015,"Lucy M. Aplin, Damien R. Farine, Julie Morand-Ferron, Andrew Cockburn, Alex Thornton, Ben C. Sheldon ",10.1038/nature13998,tracking spread of experimentally seeded behavior
falotico2024,Nut-cracking success and efficiency in two wild capuchin monkey populations,2024,"Tiago Falótico, Amanda C. Macedo, Matheus A. de Jesus, Tatiana Espinola, Tatiane Valença",10.1098/rsos.240161,variation between neighbouring populations
falotico2022,"Stone tools differences across three capuchin monkey populations: food’s physical properties, ecology, and culture",2022,"Tiago Falótico, Tatiane Valença, Michele P. Verderane, Mariana D. Fogaça ",10.1038/s41598-022-18661-3,geographic variation
telloramos2024,Architectural traditions in the structures built by cooperative weaver birds,2024,"Maria C. Tello-Ramos, Lucy Harper, Isabella Tortora-Brayda, Lauren M. Guillette, Pablo Capilla-Lasheras, Xavier A. Harrison, Andrew J. Young, Susan D. Healy ",10.1126/science.adn2573,variation between neighbouring populations
dong2023,Social signal learning of the waggle dance in honey bees,2023,"Shihao Dong, Tao Lin, James C. Nieh, Ken Tan",10.1126/science.ade1702,"cross-generation, experimental for transmission of behavior"
kawai1965,Newly-acquired pre-cultural behavior of the natural troop of Japanese monkeys on Koshima Islet,1965,Masao Kawai,10.1007/BF01794457,"tracking spread of natural innovation, observation"
mcgrew1978,Evidence for a Social Custom in Wild Chimpanzees?,1978,"W.C. McGrew, C.E.G. Tutin",10.2307/2800247,geographic variation
whiten1999,Cultures in chimpanzees,1999,"Andrew Whiten, Jane Goodall, William C. McGrew, Toshisada Nishida, Vernon Reynolds, Yukimaru Sugiyama, C.E.G. Tutin, Richard W. Wrangham, Christophe Boesch",10.1038/21415,systematic identification of stable geographic variation
vanschaik2003,Orangutan Cultures and the Evolution of Material Culture,2003,"Carel P. van Schaik, Marc Ancrenaz, Gwendolyn Borgen, Birute Galdikas, Cheryl D. Knott, Ian Singleton, Akira Suzuki, Sri Suci Utami, Michelle Merrill",10.1126/science.1078004,systematic identification of stable geographic variation
